Vernier Format 2
Silicon	17:23  Tuesday, February 21, 2023
12.200000763	0.298749983
12.300000191	0.261249989
12.400000572	0.216250002
12.500000954	0.185000002
12.600000381	0.170000002
12.700000763	0.179999992
12.800001144	0.172499999
12.900000572	0.189999998
13.000000954	0.183749989
13.100000381	0.166249990
13.200000763	0.183749989
13.300001144	0.185000002
13.400000572	0.178749993
13.500000954	0.183749989
13.600000381	0.173749998
13.700000763	0.167499989
13.800001144	0.173749998
13.900000572	0.176249996
14.000000954	0.186250001
14.100000381	0.183749989
14.200000763	0.177499995
14.300001144	0.174999997
14.400000572	0.186250001
14.500000954	0.179999992
14.600000381	0.188749999
14.700000763	0.193749994
14.800001144	0.185000002
14.900000572	0.188749999
15.000000954	0.199999988
15.100000381	0.185000002
15.200000763	0.189999998
15.300001144	0.187500000
15.400000572	0.183749989
15.500000954	0.176249996
15.600000381	0.186250001
15.700000763	0.181249991
15.800001144	0.193749994
15.900000572	0.182499990
16.000000000	0.199999988
16.100000381	0.224999994
16.200000763	0.348749995
16.300001144	0.668749988
16.400001526	1.011250019
16.500000000	0.764999986
16.600000381	0.423749983
16.700000763	0.441249996
16.800001144	0.569999993
16.900001526	0.231249988
17.000000000	0.213749990
17.100000381	0.194999993
17.200000763	0.197499990
17.300001144	0.188749999
17.400001526	0.186250001
17.500000000	0.197499990
17.600000381	0.187500000
17.700000763	0.172499999
17.800001144	0.178749993
17.900001526	0.172499999
18.000000000	0.168750003
18.100000381	0.181249991
18.200000763	0.173749998
18.300001144	0.177499995
18.400001526	0.196249992
18.500001907	0.182499990
18.600000381	0.183749989
18.700000763	0.188749999
18.800001144	0.188749999
18.900001526	0.194999993
19.000001907	0.187500000
19.100000381	0.170000002
19.200000763	0.177499995
19.300001144	0.174999997
19.400001526	0.188749999
19.500001907	0.189999998
19.600000381	0.181249991
19.700000763	0.186250001
19.800001144	0.174999997
19.900001526	0.179999992
20.000001907	0.189999998
20.100000381	0.186250001
20.200000763	0.188749999
20.300001144	0.198749989
20.400001526	0.189999998
20.500001907	0.182499990
20.600000381	0.183749989
20.700000763	0.183749989
20.800001144	0.185000002
20.900001526	0.189999998
21.000001907	0.192499995
21.100000381	0.179999992
21.200000763	0.193749994
21.300001144	0.193749994
21.400001526	0.183749989
21.500001907	0.197499990
21.600000381	0.201250002
21.700000763	0.199999988
21.800001144	0.189999998
21.900001526	0.179999992
22.000001907	0.191249996
22.100000381	0.191249996
22.200000763	0.188749999
22.300001144	0.178749993
22.400001526	0.201250002
22.500001907	0.196249992
22.600000381	0.194999993
22.700000763	0.202500001
22.800001144	0.202500001
22.900001526	0.182499990
23.000001907	0.196249992
23.100000381	0.204999998
23.200000763	0.183749989
23.300001144	0.196249992
23.400001526	0.198749989
23.500001907	0.198749989
23.600000381	0.213749990
23.700000763	0.211249992
23.800001144	0.203749999
23.900001526	0.197499990
24.000001907	0.201250002
24.100000381	0.211249992
24.200000763	0.203749999
24.300001144	0.206249997
24.400001526	0.211249992
24.500001907	0.208749995
24.600000381	0.206249997
24.700000763	0.222499996
24.800001144	0.228749990
24.900001526	0.223749995
25.000001907	0.214999989
25.100000381	0.213749990
25.200000763	0.223749995
25.300001144	0.223749995
25.400001526	0.237499997
25.500001907	0.232500002
25.600002289	0.263749987
25.700000763	0.587499976
25.800001144	1.011250019
25.900001526	1.063750029
26.000001907	0.556249976
26.100002289	0.409999996
26.200000763	0.439999998
26.300001144	0.386249989
26.400001526	0.283749998
26.500001907	0.254999995
26.600002289	0.238749996
26.700000763	0.232500002
26.800001144	0.257499993
26.900001526	0.241249993
27.000001907	0.241249993
27.100002289	0.253749996
27.200000763	0.256249994
27.300001144	0.262499988
27.400001526	0.258749992
27.500001907	0.259999990
27.600002289	0.246249989
27.700000763	0.252499998
27.800001144	0.252499998
27.900001526	0.263749987
28.000001907	0.244999990
28.100002289	0.268749982
28.200000763	0.269999981
28.300001144	0.268749982
28.400001526	0.259999990
28.500001907	0.268749982
28.600002289	0.264999986
28.700000763	0.271249980
28.800001144	0.272500008
28.900001526	0.262499988
29.000001907	0.261249989
29.100002289	0.271249980
29.200000763	0.281250000
29.300001144	0.302499980
29.400001526	0.284999996
29.500001907	0.286249995
29.600002289	0.298749983
29.700000763	0.297499985
29.800001144	0.310000002
29.900001526	0.329999983
30.000001907	0.331249982
