Vernier Format 2
CANickel1984_50_43_Fine	17:13  Tuesday, March 07, 2023
6.050000191	0.584999979
6.100000381	0.588750005
6.150000095	0.598749995
6.200000286	0.599999964
6.250000477	0.584999979
6.300000191	0.612500012
6.350000381	0.594999969
6.400000572	0.611249983
6.450000286	0.582499981
6.500000477	0.577499986
6.550000191	0.578750014
6.600000381	0.569999993
6.650000572	0.577499986
6.700000286	0.582499981
6.750000477	0.613749981
6.800000191	0.586250007
6.850000381	0.579999983
6.900000572	0.582499981
6.950000286	0.563749969
7.000000477	0.588750005
7.050000191	0.582499981
7.100000381	0.616249979
7.150000572	0.582499981
7.200000286	0.623749971
7.250000477	0.607499957
7.300000191	0.583750010
7.350000381	0.601249993
7.400000572	0.596249998
7.450000286	0.583750010
7.500000477	0.579999983
7.550000191	0.577499986
7.600000381	0.587499976
7.650000572	0.579999983
7.700000286	0.584999979
7.750000477	0.586250007
7.800000191	0.587499976
7.850000381	0.567499995
7.900000572	0.598749995
7.950000286	0.583750010
8.000000000	0.594999969
8.050000191	0.572499990
8.100000381	0.574999988
8.150000572	0.561249971
8.200000763	0.568749964
8.250000000	0.568749964
8.300000191	0.584999979
8.350000381	0.576250017
8.400000572	0.567499995
8.450000763	0.577499986
8.500000000	0.569999993
8.550000191	0.583750010
8.600000381	0.573749959
8.650000572	0.589999974
8.700000763	0.571249962
8.750000000	0.577499986
8.800000191	0.597499967
8.850000381	0.571249962
8.900000572	0.603749990
8.950000763	0.599999964
9.000000000	0.591250002
9.050000191	0.584999979
9.100000381	0.588750005
9.150000572	0.612500012
9.200000763	0.613749981
9.250000954	0.633749962
9.300000191	0.594999969
9.350000381	0.628749967
9.400000572	0.607499957
9.450000763	0.598749995
9.500000954	0.610000014
9.550000191	0.611249983
9.600000381	0.616249979
9.650000572	0.628749967
9.700000763	0.653750002
9.750000954	0.634999990
9.800000191	0.681249976
9.850000381	0.694999993
9.900000572	0.719999969
9.950000763	0.728749990
10.000000954	0.771250010
10.050000191	0.812500000
10.100000381	0.839999974
10.150000572	0.928749979
10.200000763	1.000000000
10.250000954	1.107499957
10.300000191	1.226249933
10.350000381	1.434999943
10.400000572	1.608749986
10.450000763	1.843750000
10.500000954	2.087499857
10.550000191	2.392499924
10.600000381	2.605000019
10.650000572	2.881249905
10.700000763	3.091249943
10.750000954	3.169999838
10.800000191	3.256249905
10.850000381	3.307499886
10.900000572	3.299999952
10.950000763	3.204999924
11.000000954	3.108749866
11.050000191	3.006249905
11.100000381	2.791249990
11.150000572	2.634999990
11.200000763	2.384999990
11.250000954	2.193749905
11.300000191	1.953750014
11.350000381	1.786249995
11.400000572	1.559999943
11.450000763	1.343750000
11.500000954	1.168749928
11.550000191	1.052500010
11.600000381	0.958749950
11.650000572	0.906250000
11.700000763	0.828749955
11.750000954	0.821249962
11.800000191	0.763749957
11.850000381	0.726249993
11.900000572	0.721249998
11.950000763	0.694999993
12.000000954	0.682500005
12.050000191	0.659999967
12.100000381	0.651250005
12.150000572	0.622500002
12.200000763	0.612500012
12.250000954	0.606249988
12.300000191	0.598749995
12.350000381	0.601249993
12.400000572	0.604999959
12.450000763	0.611249983
12.500000954	0.631249964
12.550000191	0.594999969
12.600000381	0.607499957
12.650000572	0.625000000
12.700000763	0.607499957
12.750000954	0.603749990
12.800001144	0.551249981
12.850000381	0.587499976
12.900000572	0.576250017
12.950000763	0.576250017
13.000000954	0.578750014
13.050001144	0.598749995
13.100000381	0.628749967
13.150000572	0.588750005
13.200000763	0.578750014
13.250000954	0.598749995
13.300001144	0.579999983
13.350000381	0.581250012
13.400000572	0.579999983
13.450000763	0.579999983
13.500000954	0.579999983
13.550001144	0.574999988
13.600000381	0.597499967
13.650000572	0.594999969
13.700000763	0.568749964
13.750000954	0.564999998
13.800001144	0.594999969
13.850000381	0.586250007
13.900000572	0.581250012
13.950000763	0.578750014
14.000000954	0.574999988
