Vernier Format 2
USCoin_50_43_Fine	16:39  Tuesday, March 07, 2023
6.050000191	0.563749969
6.100000381	0.579999983
6.150000095	0.594999969
6.200000286	0.560000002
6.250000477	0.567499995
6.300000191	0.564999998
6.350000381	0.577499986
6.400000572	0.574999988
6.450000286	0.588750005
6.500000477	0.569999993
6.550000191	0.582499981
6.600000381	0.564999998
6.650000572	0.574999988
6.700000286	0.563749969
6.750000477	0.589999974
6.800000191	0.592499971
6.850000381	0.587499976
6.900000572	0.582499981
6.950000286	0.588750005
7.000000477	0.564999998
7.050000191	0.571249962
7.100000381	0.577499986
7.150000572	0.584999979
7.200000286	0.584999979
7.250000477	0.589999974
7.300000191	0.593750000
7.350000381	0.601249993
7.400000572	0.591250002
7.450000286	0.596249998
7.500000477	0.617500007
7.550000191	0.591250002
7.600000381	0.579999983
7.650000572	0.571249962
7.700000286	0.553749979
7.750000477	0.577499986
7.800000191	0.579999983
7.850000381	0.560000002
7.900000572	0.567499995
7.950000286	0.577499986
8.000000000	0.602499962
8.050000191	0.584999979
8.100000381	0.594999969
8.150000572	0.568749964
8.200000763	0.591250002
8.250000000	0.573749959
8.300000191	0.581250012
8.350000381	0.582499981
8.400000572	0.589999974
8.450000763	0.563749969
8.500000000	0.560000002
8.550000191	0.561249971
8.600000381	0.582499981
8.650000572	0.566249967
8.700000763	0.582499981
8.750000000	0.587499976
8.800000191	0.576250017
8.850000381	0.578750014
8.900000572	0.583750010
8.950000763	0.582499981
9.000000000	0.586250007
9.050000191	0.552500010
9.100000381	0.547500014
9.150000572	0.562500000
9.200000763	0.581250012
9.250000954	0.569999993
9.300000191	0.587499976
9.350000381	0.573749959
9.400000572	0.574999988
9.450000763	0.596249998
9.500000954	0.567499995
9.550000191	0.584999979
9.600000381	0.564999998
9.650000572	0.598749995
9.700000763	0.587499976
9.750000954	0.607499957
9.800000191	0.599999964
9.850000381	0.596249998
9.900000572	0.594999969
9.950000763	0.617500007
10.000000954	0.615000010
10.050000191	0.612500012
10.100000381	0.643750012
10.150000572	0.637499988
10.200000763	0.694999993
10.250000954	0.692499995
10.300000191	0.702499986
10.350000381	0.737500012
10.400000572	0.807500005
10.450000763	0.824999988
10.500000954	0.889999986
10.550000191	0.966250002
10.600000381	1.105000019
10.650000572	1.298749924
10.700000763	1.472499967
10.750000954	1.740000010
10.800000191	1.959999919
10.850000381	2.234999895
10.900000572	2.450000048
10.950000763	2.687500000
11.000000954	2.896250010
11.050000191	2.976249933
11.100000381	3.044999838
11.150000572	3.086249828
11.200000763	3.049999952
11.250000954	2.997499943
11.300000191	2.913749933
11.350000381	2.733749866
11.400000572	2.596250057
11.450000763	2.399999857
11.500000954	2.194999933
11.550000191	1.963750005
11.600000381	1.741249919
11.650000572	1.509999990
11.700000763	1.313750029
11.750000954	1.178749919
11.800000191	1.002499938
11.850000381	0.941249967
11.900000572	0.853749990
11.950000763	0.838750005
12.000000954	0.740000010
12.050000191	0.759999990
12.100000381	0.688749969
12.150000572	0.664999962
12.200000763	0.637499988
12.250000954	0.637499988
12.300000191	0.638749957
12.350000381	0.608749986
12.400000572	0.603749990
12.450000763	0.613749981
12.500000954	0.579999983
12.550000191	0.591250002
12.600000381	0.578750014
12.650000572	0.571249962
12.700000763	0.556249976
12.750000954	0.574999988
12.800001144	0.563749969
12.850000381	0.589999974
12.900000572	0.578750014
12.950000763	0.562500000
13.000000954	0.572499990
13.050001144	0.583750010
13.100000381	0.567499995
13.150000572	0.584999979
13.200000763	0.589999974
13.250000954	0.563749969
13.300001144	0.555000007
13.350000381	0.566249967
13.400000572	0.577499986
13.450000763	0.577499986
13.500000954	0.582499981
13.550001144	0.562500000
13.600000381	0.596249998
13.650000572	0.583750010
13.700000763	0.553749979
13.750000954	0.583750010
13.800001144	0.584999979
13.850000381	0.568749964
13.900000572	0.567499995
13.950000763	0.597499967
14.000000954	0.572499990
